00:00.006  color_management | Using OCIO=/Users/mengyingli/Documents/ChatGPT/MyBlenderFilmStudio/color/ocio/cg-config-v4.0.0_aces-v2.0_ocio-v2.5.ocio
00:00.075  color_management | WARNING Display "sRGB" used by scene not found, setting to "sRGB - Display".
00:00.075  color_management | WARNING scene view "AgX" not found, setting to "ACES 2.0 - SDR 100 nits (Rec.709)".
00:00.075  color_management | WARNING Display "sRGB" used by scene output not found, setting to "sRGB - Display".
00:00.075  color_management | WARNING scene output view "Standard" not found, setting to "Un-tone-mapped".
00:00.075  color_management | WARNING sequencer colorspace "sRGB" not found, will use default instead.
00:00.300  blend            | Read blend: "/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.2-2026-08-31-mac-m2max-attempt-02/PC2_ACTION_COMPLEXITY.blend"
00:00.601  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:00.828  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:01.038  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:01.206  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:01.349  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:01.495  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:01.655  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:01.801  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
